2 We respectfully invite you to watch a special edition of Across China . ||| B-ARG0 B-ARGM-MNR B-V B-ARG1 B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
5 We respectfully invite you to watch a special edition of Across China . ||| O O O B-ARG0 O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
0 Standing tall on Taihang Mountain is the Monument to the Hundred Regiments Offensive . ||| B-V B-ARGM-ADV B-ARGM-LOC I-ARGM-LOC I-ARGM-LOC O O O O O O O O O
5 Standing tall on Taihang Mountain is the Monument to the Hundred Regiments Offensive . ||| O O O O O B-V O O O O O O O O
1 It is composed of a primary stele , secondary steles , a huge round sculpture and beacon tower , and the Great Wall , among other things . ||| O B-V O O O O O O O O O O O O O O O O O O O O O O O O O O
2 It is composed of a primary stele , secondary steles , a huge round sculpture and beacon tower , and the Great Wall , among other things . ||| B-ARG1 O B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
10 A primary stele , three secondary steles , and two inscribed steles . ||| O O O O O O O O O O B-V B-ARG1 O
4 The Hundred Regiments Offensive was the campaign of the largest scale launched by the Eighth Route Army during the War of Resistance against Japan . ||| B-ARG1 I-ARG1 I-ARG1 I-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
11 The Hundred Regiments Offensive was the campaign of the largest scale launched by the Eighth Route Army during the War of Resistance against Japan . ||| O O O O O B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 B-V B-ARG0 I-ARG0 I-ARG0 I-ARG0 I-ARG0 B-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP I-ARGM-TMP O
2 This campaign broke through the Japanese army 's blockade to reach base areas behind enemy lines , stirring up anti-Japanese spirit throughout the nation and influencing the situation of the anti-fascist war of the people worldwide . ||| B-ARG0 I-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 B-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP I-ARGM-PRP O B-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD I-ARGM-PRD O
10 This campaign broke through the Japanese army 's blockade to reach base areas behind enemy lines , stirring up anti-Japanese spirit throughout the nation and influencing the situation of the anti-fascist war of the people worldwide . ||| B-ARG0 I-ARG0 O O O O O O O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O O O O O O O O O O O O O O O O O O O O O
17 This campaign broke through the Japanese army 's blockade to reach base areas behind enemy lines , stirring up anti-Japanese spirit throughout the nation and influencing the situation of the anti-fascist war of the people worldwide . ||| B-ARG0 I-ARG0 O O O O O O O O O O O O O O O B-V O B-ARG1 I-ARG1 B-ARGM-LOC I-ARGM-LOC I-ARGM-LOC O O O O O O O O O O O O O
25 This campaign broke through the Japanese army 's blockade to reach base areas behind enemy lines , stirring up anti-Japanese spirit throughout the nation and influencing the situation of the anti-fascist war of the people worldwide . ||| B-ARG0 I-ARG0 O O O O O O O O O O O O O O O O O O O O O O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
1 This is Zhuanbi Village , Wuxiang County of Shanxi Province , where the Eighth Route Army was headquartered back then . ||| B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
16 This is Zhuanbi Village , Wuxiang County of Shanxi Province , where the Eighth Route Army was headquartered back then . ||| O O O O O O O O O O O O O O O O B-V O O O O
17 This is Zhuanbi Village , Wuxiang County of Shanxi Province , where the Eighth Route Army was headquartered back then . ||| O O O O O O O O O O O B-ARGM-LOC B-ARG1 I-ARG1 I-ARG1 I-ARG1 O B-V B-ARGM-TMP I-ARGM-TMP O
7 On a wall outside the headquarters we found a map . ||| B-ARGM-LOC I-ARGM-LOC I-ARGM-LOC I-ARGM-LOC I-ARGM-LOC I-ARGM-LOC B-ARG0 B-V B-ARG1 I-ARG1 O
